taxon.scientificNameWithoutAuthorship
"Heteropterys ternstroemiifolia"
"Renvoizea teretifolia"
"Doryopteris magdalenensis"
"Piper crebrinodum"
"Nectandra spicata"
"Macropeplus friburgensis"
"Rudgea macrophylla"
"Senegalia miersii"
"Tetragastris breviacuminata"
"Machaerium legale"
"Mimosa ernestii"
"Plinia martinellii"
"Plinia ilhensis"
"Marlierea choriophylla"
"Neomitranthes apiculata"
"Myrcia stewartiana"
"Mandevilla crassinoda"
"Anthurium lhotzkyanum"
"Matelea quinquedentata"
"Wunderlichia insignis"
"Lepidaploa obtusifolia"
"Salvia benthamiana"
"Meriania glabra"
"Leandra alpestris"
"Tibouchina benthamiana"
"Leandra freyreissii"
"Stephanopodium sessile"
"Erythroxylum occultum"
"Chomelia monantha"
"Erythroxylum glazioui"
"Erythroxylum gaudichaudii"
"Erythroxylum cincinnatum"
"Algernonia glazioui"
"Ophthalmoblapton macrophyllum"
"Galianthe polygonoides"
"Fuchsia campos-portoi"
"Quesnelia edmundoi"
"Aechmea dealbata"
"Aechmea fasciata"
"Trigonia littoralis"
"Sphagnum scorpioides"
"Calyptranthes aromatica"
"Calyptranthes caudata"
"Calyptranthes bimarginata"
"Ouratea campos-portoi"
"Begonia dentatiloba"
"Begonia cordata"
"Begonia rubropilosa"
"Cupania fluminensis"
"Begonia lubbersii"
"Matayba talisioides"
"Begonia princeps"
"Serjania acuminata"
"Funifera brasiliensis"
"Coussarea lanceolata"
"Elaphoglossum miersii"
"Coussarea strigosipes"
"Coussarea viridis"
"Psychotria ampla"
"Vanhouttea gardneri"
"Vanhouttea lanata"
"Faramea tinguana"
"Faramea includens"
"Ixora heterophylla"
"Chionanthus fluminensis"
"Chionanthus tenuis"
"Rhipsalis flagelliformis"
"Catasetum globiflorum"
"Justicia polita"
"Aphelandra stephanophysa"
"Staurogyne brachiata"
"Zygostates ovatipetala"
"Pelexia luetzelburgii"
"Octomeria sarcophylla"
"Nidularium rosulatum"
"Neoregelia eltoniana"
"Tillandsia roseiflora"
"Vriesea botafogensis"
"Vriesea goniorachis"
"Isoetes organensis"
"Dioscorea organensis"
"Rinorea laevigata"
"Thelypteris refracta"
"Beilschmiedia angustifolia"
"Symplocos organensis"
"Symplocos dasyphylla"
"Doryopteris quinquelobata"
"Luxemburgia glazioviana"
"Marcgravia comosa"
"Hindsia glabra"
"Rudgea insignis"
"Stigmaphyllon affine"
"Bronwenia peckoltii"
"Mollinedia marliae"
"Dichorisandra gaudichaudiana"
"Machaerium obovatum"
"Dendropanax heterophyllus"
"Piptadenia polyptera"
"Tachigali beaurepairei"
"Eugenia corcovadensis"
"Myrcia velutiflora"
"Myrcia magnifolia"
"Orthosia arenosa"
"Oxypetalum lutescens"
